Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
RoboKiller,https://www.crunchbase.com/organization/robokiller,51-100,Active,https://www.robokiller.com,support@robokiller.com,,,,,,,,,,"Apps, Hardware, Information Technology, Mobile, Software","Mobile Apps, Spam Filtering, Telecommunications",1,6,,Scientific and electric apparatus and instruments,,,,,,"New Jersey, Saint Patrick, Trinidad and Tobago",$1M to $10M,,,,https://www.linkedin.com/company/robokillerapp/
GlockApps,https://www.crunchbase.com/organization/glockapps,11-50,Active,https://glockapps.com/,glockappssupport@glocksoft.com,+1 205 736 9794,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Sales and Marketing, Software","Consulting, Email, Email Marketing, Software, Spam Filtering",0,1,,Scientific and technological services,405465,USD,405465,,,"Pinedale, Wyoming, United States",$1M to $10M,2009-01-01,year,,https://www.linkedin.com/company/g-lock-software/
CleanTalk Inc,https://www.crunchbase.com/organization/cleantalk,11-50,Active,https://cleantalk.org,welcome@cleantalk.org,+17753011130,,,,,,,,,"Information Technology, Media and Entertainment, Privacy and Security, Software","Cloud Security, Content, Software, Spam Filtering, Web Development",0,1,,Scientific and technological services,,,,,,"Carson City, Nevada, United States",$1M to $10M,2014-09-19,day,,https://www.linkedin.com/company/9456478/
Techloq,https://www.crunchbase.com/organization/techloq,11-50,Active,https://www.techloq.com,,1-845-237-5501,,,,,,,,,"Information Technology, Internet Services","Information Technology, Internet, Spam Filtering",,,,,313946,USD,313946,,,"London, England, United Kingdom",$1M to $10M,2016-01-01,year,,https://www.linkedin.com/company/techloq-limited/
DuoCircle LLC,https://www.crunchbase.com/organization/duocircle-llc,11-50,Active,http://www.duocircle.com,support@duocircle.com,855-700-1386,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Email, Enterprise Software, Spam Filtering",0,1,,Telecommunications,297028,USD,297028,,,"San Diego, California, United States",$1M to $10M,2014-10-01,month,,https://www.linkedin.com/company/duocircle
Quikteks,https://www.crunchbase.com/organization/quikteks-fairfield-new-jersey,11-50,Active,https://www.quikteks.com/,info@quikteks.com,973-882-4644,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Professional Services, Software","Computer, Consulting, Cyber Security, Information Services, Information Technology, IT Infrastructure, Security, Spam Filtering, Virtualization, VoIP",,,,,239267,USD,239267,,,"Fairfield, New Jersey, United States",$1M to $10M,2002-01-01,year,,https://www.linkedin.com/company/quikteks/
CallHero,https://www.crunchbase.com/organization/callhero,1-10,Active,https://getcallhero.com,team@getcallhero.com,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Mobile Apps, Spam Filtering",,,,,,,,,,"Tel Aviv, Tel Aviv, Israel",$1M to $10M,2019-01-01,day,,https://www.linkedin.com/company/getcallhero
Altospam,https://www.crunchbase.com/organization/altospam,11-50,Active,https://www.altospam.com,info@altospam.com,33825950038,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Cloud Security, Email, Enterprise Software, SaaS, Software, Spam Filtering",,,,,928908,USD,928908,,,"Gratentour, Midi-Pyrenees, France",$1M to $10M,2002-06-22,day,,https://www.linkedin.com/company/altospam
Computer Technologies,https://www.crunchbase.com/organization/computer-technologies-inc-do-not-contact,1-10,Active,https://www.cti-mi.com,,+1 248 362 3800,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Professional Services","Cloud Security, Computer, Consulting, Cyber Security, Information Services, Information Technology, IT Management, Security, Spam Filtering, VoIP",,,,,209792,USD,209792,,,"Troy, Michigan, United States",$1M to $10M,1991-01-01,year,,https://www.linkedin.com/company/computer-technologies-inc.
I Love Long URL,https://www.crunchbase.com/organization/i-love-long-url,1-10,Closed,http://www.ilovelongurl.com,himanshujoshi@ilovelongurl.com,+91-8861304025,,,,,,,,,"Information Technology, Internet Services, Privacy and Security, Software","Browser Extensions, Internet, Security, Spam Filtering",,,,,,,,,,"Bangalore, Karnataka, India",$1M to $10M,2012-05-19,day,,
Lavva,https://www.crunchbase.com/organization/lavva,1-10,Active,http://www.lavva.com,,,,,,,,,,,"Information Technology, Internet Services","Internet, Search Engine, Spam Filtering",,,,,110676,USD,110676,,,,$1M to $10M,2009-10-25,day,,
SalesAR,https://www.crunchbase.com/organization/salesar,51-100,Active,https://salesar.io/,info@salesar.io,+44 (208) 638 72 75,,,,,,,,,"Information Technology, Other, Sales and Marketing","B2B, Lead Generation, Spam Filtering",,,,,,,,,,"Kyiv, Kyyiv, Ukraine",$1M to $10M,2019-11-01,month,,https://www.linkedin.com/company/salesar/
Unlistr,https://www.crunchbase.com/organization/unlistr,11-50,Active,http://unlistr.com,henalpatel@unlistr.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Sales and Marketing, Software","Email, Email Marketing, Enterprise Software, Mobile, Spam Filtering",,,,,322211,USD,322211,,,"Houston, Texas, United States",$1M to $10M,2010-01-01,year,,
Pluckeye,https://www.crunchbase.com/organization/pluckeye,11-50,Active,https://www.pluckeye.net/,feedback@pluckeye.net,+1 541 203 0560,,,,,,,,,"Information Technology, Internet Services, Privacy and Security, Software","Internet, Network Security, Software, Spam Filtering",,,,,,,,,,"Florida, New York, United States",$1M to $10M,,,,
turboSMTP,https://www.crunchbase.com/organization/turbosmtp-6823,11-50,Active,https://serversmtp.com,support@turbo-smtp.com,1 (646) 963-6059,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Email, Information Technology, Messaging, Spam Filtering",,,,,390110,USD,390110,,,"San Diego, California, United States",$1M to $10M,2008-01-01,year,,http://www.linkedin.com/company/turbo-smtp
Techsols,https://www.crunchbase.com/organization/techsols,1-10,Active,https://www.techsols.com.au/,info@techsols.com.au,+61 1300 323 595,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Information Technology, IT Management, Spam Filtering, VoIP",,,,,,,,,,"Aspley, Queensland, Australia",$1M to $10M,2006-01-01,year,,https://www.linkedin.com/company/techsolsit/
Junk Email Filter,https://www.crunchbase.com/organization/junk-email-filter,,Active,http://www.junkemailfilter.com,support@junkemailfilter.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other","Email, Information Technology, Spam Filtering, Technical Support",,,,,148298,USD,148298,,,"Gilroy, California, United States",$1M to $10M,,,,
ABT Solutions,https://www.crunchbase.com/organization/abt-solutions,1-10,Active,https://www.abtok.com,info@abtok.com,1 580-749-6060,,,,,,,,,"Information Technology, Privacy and Security","Information Technology, Network Security, Spam Filtering",,,,,111262,USD,111262,,,"Tonkawa, Oklahoma, United States",$1M to $10M,2017-01-01,year,,https://www.linkedin.com/company/abtok
Myeasymail,https://www.crunchbase.com/organization/myeasymail,1-10,Active,http://myeasymail.co,,,,,,,,,,,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Advertising, Email, Email Marketing, SaaS, Software, Spam Filtering",,,,,,,,,,"Torrance, California, United States",$1M to $10M,2013-01-01,year,,
Networking Delaware,https://www.crunchbase.com/organization/networking-delaware,1-10,Active,http://www.networkingdelaware.com/,info@networkingdelaware.com,(302) 368-8630,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security","Computer, Cyber Security, Information Technology, Network Hardware, Network Security, Penetration Testing, Security, Spam Filtering",,,,,385944,USD,385944,,,"Newark, Delaware, United States",$1M to $10M,2004-11-01,day,,https://www.linkedin.com/company/networking-delaware
IThinkSource Corporation,https://www.crunchbase.com/organization/ithinksource-corporation,1-10,Active,https://ithinksource.com,,+1  949 266 0260,,,,,,,,,"Hardware, Information Technology, Internet Services, Software","Cloud Storage, Hardware, Software, Spam Filtering, Virtualization",,,,,90892,USD,90892,,,"Fountain Valley, California, United States",$1M to $10M,,,,http://www.linkedin.com/company/ithinksource-corporation
eCom2Win,https://www.crunchbase.com/organization/ecom2win,1-10,Active,https://ecom2win.com,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing","A/B Testing, Email, Email Marketing, Spam Filtering",,,,,,,,,,"Sofia, Grad Sofiya, Bulgaria",$1M to $10M,,,,https://www.linkedin.com/company/ecom2win
iOnline,https://www.crunchbase.com/organization/ionline,1-10,Active,https://www.ionline.nl,support@ionline.nl,31-88-233-4300,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Internet, Spam Filtering",,,,,,,,,,"Amersfoort, Utrecht, The Netherlands",$1M to $10M,2004-01-01,year,,https://www.linkedin.com/company/ionline-bv
Invaluement,https://www.crunchbase.com/organization/invaluement,1-10,Active,https://www.invaluement.com/,info@invaluement.com,,,,,,,,,,"Information Technology, Other, Software","Software, Spam Filtering, Technical Support",,,,,75769,USD,75769,,,"Hickory, North Carolina, United States",$1M to $10M,1996-01-01,year,,https://www.linkedin.com/company/invaluement/
Unodata,https://www.crunchbase.com/organization/unodata,11-50,Active,https://www.unodata.com.br/,comercial@unodata.com.br,+55 (11) 3522-3011,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Management, Information Technology, Spam Filtering, Web Hosting",,,,,,,,,,"São Bernardo Do Campo, Sao Paulo, Brazil",$1M to $10M,2006-01-01,year,,https://www.linkedin.com/company/unodata/
Inbox Ignite,https://www.crunchbase.com/organization/inbox-ignite,1-10,Active,https://inboxignite.com/,hello@inboxignite.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security","Domain Registrar, Email, Security, Spam Filtering",,,,,535650,USD,535650,,,"Melbourne, Florida, United States",$1M to $10M,,,,
Network Technology Solutions,https://www.crunchbase.com/organization/network-technology-solutions-5d73,1-10,Active,http://ntsia.com,,+1 515 612 6313,,,,,,,,,"Information Technology, Internet Services, Professional Services, Software","Cloud Data Services, Consulting, Information Technology, Internet, Software, Spam Filtering",,,,,,,,,,"Urbandale, Iowa, United States",$1M to $10M,2005-01-01,year,,https://www.linkedin.com/company/ntsia
ScanTitan,https://www.crunchbase.com/organization/scantitan,1-10,Active,https://scantitan.com,info@scantitan.com,+31 7 87500453,,,,,,,,,"Information Technology, Privacy and Security","Cyber Security, Information Technology, Security, Spam Filtering",,,,,,,,,,"Den Haag, Zuid-Holland, The Netherlands",$1M to $10M,2014-01-01,year,,https://www.linkedin.com/company/scantitan
Protocol Network Services,https://www.crunchbase.com/organization/protocol-network-services,1-10,Active,https://protocolns.com,netsupport@protocolns.com,1 902-457-3739,,,,,,,,,"Information Technology, Internet Services, Software","Cloud Computing, Information Technology, Software, Spam Filtering",,,,,92435,USD,92435,,,"Halifax, Nova Scotia, Canada",$1M to $10M,1996-01-01,year,,https://www.linkedin.com/company/protocol-network-services-ltd-
I.T. Professional Business Solutions,https://www.crunchbase.com/organization/i-t-professional-business-solutions,1-10,Active,https://it-pbs.com,sales@it-pbs.com,+1 888 869 1159,,,,,,,,,"Information Technology, Professional Services","Business Development, Consulting, Information Services, Information Technology, Spam Filtering",,,,,218658,USD,218658,,,"Hialeah, Florida, United States",$1M to $10M,2010-01-01,year,,https://www.linkedin.com/company/i-t-professional-business-solutions
Preferred Computer Services,https://www.crunchbase.com/organization/preferred-computer-services,1-10,Active,https://pcs-hsv.com,phaxton@pcs-hsv.com,+1 256 513 8206,,,,,,,,,"Information Technology, Privacy and Security","Cyber Security, Information Technology, Spam Filtering",,,,,,,,,,"Huntsville, Alabama, United States",$1M to $10M,1991-01-01,year,,https://www.linkedin.com/company/preferred-computer-services-inc
Sendside Networks,https://www.crunchbase.com/organization/sendside-networks,11-50,Active,http://www.sendsidenetworks.com,info@sendside.net,18012612605,,,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Privacy and Security, Software","Content, Email, Identity Management, Security, Software, Spam Filtering",,,,,287722,USD,287722,,,"Salt Lake City, Utah, United States",$1M to $10M,2006-01-01,year,,
Realworld Computer Solutions,https://www.crunchbase.com/organization/realworld-computer-solutions,1-10,Active,https://realworldcs.com/,info@realworldcs.com,+44 345 257 0512,,,,,,,,,"Design, Information Technology, Internet Services, Professional Services, Software","Risk Management, Software, Spam Filtering, Web Design, Web Hosting",,,,,,,,,,"London, England, United Kingdom",$1M to $10M,,,,
SiteTruth,https://www.crunchbase.com/organization/sitetruth,11-50,Active,http://www.sitetruth.com,info@animats.com,650-306-9190,,,,,,,,,"Financial Services, Information Technology, Internet Services, Payments, Software","Search Engine, Spam Filtering, Transaction Processing",,,,,610050,USD,610050,,,"Deer Creek, Illinois, United States",$1M to $10M,2006-11-04,day,,
TidyTweet,https://www.crunchbase.com/organization/tidytweet,1-10,Active,http://tidytweet.com,tidytweet@rockfishinteractive.com,(479) 464-0622,,,,,,,,,"Apps, Information Technology, Software","Apps, Developer Tools, Spam Filtering",,,,,,,,,,"Rogers, Arkansas, United States",$1M to $10M,2009-07-01,day,,
Bee.Net,https://www.crunchbase.com/organization/bee-net,1-10,Active,https://www.bee.net,,1  610 280 2274,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services","Customer Service, Email, Internet, Spam Filtering, Web Hosting",,,,,305421,USD,305421,,,"Chester Springs, Pennsylvania, United States",$1M to $10M,1996-01-01,year,,https://www.linkedin.com/company/bee.net-internet-services
Fenske.IT,https://www.crunchbase.com/organization/fenske-it,11-50,Active,https://fenske.de,info@fenske.de,49 (0)731 482271,,,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Advice, Spam Filtering, VoIP",,,,,179908,USD,179908,,,"Wiblingen, Baden-Wurttemberg, Germany",$1M to $10M,1995-01-01,year,,https://www.linkedin.com/company/fenske.it
Gratis DNS,https://www.crunchbase.com/organization/gratis-dns,11-50,Active,https://web.gratisdns.dk,support@gratisdns.dk,+45 46 90 32 32,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Domain Registrar, Email, Spam Filtering, Web Hosting",,,,,,,,,,"Københoved, Syddanmark, Denmark",$1M to $10M,2001-01-01,year,,
Why Spam Me,https://www.crunchbase.com/organization/why-spam-me,1-10,Active,http://whyspam.me,,334-462-1587,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Email, Spam Filtering",,,,,,,,,,"Austin, Texas, United States",$1M to $10M,,,,
Techno Hero Solutions,https://www.crunchbase.com/organization/techno-hero-solutions,11-50,Active,https://www.technoherosolutions.com,support@technoherosolutions.com,+1 323 379 4376,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Other, Professional Services","Computer, Customer Service, Spam Filtering, Technical Support",,,,,,,,,,"Panorama City, California, United States",$1M to $10M,2012-01-01,year,,https://www.linkedin.com/company/techno-hero-solutions-llc
Autumntech,https://www.crunchbase.com/organization/autumntech,1-10,Active,https://www.autumntech.com,info@autumntech.com,+1 703 724 1757,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Payments, Software","Bitcoin, Information Technology, Spam Filtering",,,,,,,,,,"Laurel, Maryland, United States",$1M to $10M,2002-01-01,year,,
MeMail,https://www.crunchbase.com/organization/memail-8e39,11-50,Active,https://mail.net,hello@memail.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications","Email, Information Technology, Spam Filtering",,,,,,,,,,"Berlin, Berlin, Germany",$1M to $10M,,,,https://www.linkedin.com/company/memail-ag
Revolution IT,https://www.crunchbase.com/organization/revolution-it-3f73,11-50,Active,https://itsupport-auckland.nz,enquiry@rvn.co.nz,+64 09 973 4770,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Cloud Computing, Spam Filtering, Virtualization, VoIP",,,,,,,,,,"Auckland, Auckland, New Zealand",$1M to $10M,1994-01-01,year,,https://www.linkedin.com/company/revolution-your-it-partner
L & J Technology,https://www.crunchbase.com/organization/l-j-technology,1-10,Active,https://ljtech.net,helpdesk@ljtech.net,+1 504 962 7575,,,,,,,,,"Information Technology, Other","Information Services, Information Technology, Professional Services, Spam Filtering",,,,,,,,,,"New Orleans, Louisiana, United States",$1M to $10M,1997-01-01,year,,https://www.linkedin.com/company/l-&-j-technology-llc
Smart Moderation,https://www.crunchbase.com/organization/smart-moderation,1-10,Active,https://smartmoderation.com/,info@smartmoderation.com,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Other, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Big Data, Content, Machine Learning, Natural Language Processing, Real Time, Social Media, Software, Spam Filtering",,,,,361176,USD,361176,,,"San Francisco, California, United States",Less than $1M,2014-01-01,year,"Startupbootcamp, Startupbootcamp Istanbul, Startupbootcamp Istanbul",https://www.linkedin.com/company/smart-moderation
MailChannels,https://www.crunchbase.com/organization/mailchannels,11-50,Active,http://www.mailchannels.com,info@mailchannels.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security","Cloud Security, Cyber Security, Email, Network Security, Spam Filtering",,,,,367657,USD,367657,,,"Vancouver, British Columbia, Canada",Less than $1M,2004-03-11,day,WUTIF,http://www.linkedin.com/company/mailchannels
ContactJam,https://www.crunchbase.com/organization/contactjam,11-50,Active,http://www.contactjam.com,help@contactjam.com,+1 512 537 7029,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing","Email, Email Marketing, Messaging, Spam Filtering",,,,,,,,,,"Austin, Texas, United States",Less than $1M,2013-01-01,year,,
"Keypic, Inc.",https://www.crunchbase.com/organization/keypic,11-50,Active,http://keypic.com,info@keypic.com,13383928851,,,,,,,,,"Advertising, Commerce and Shopping, Content and Publishing, Design, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Sales and Marketing","Advertising, Blogging Platforms, E-Commerce, Internet, Security, Spam Filtering, Web Design",,,,,43582,USD,43582,,,"Walnut, California, United States",Less than $1M,2010-09-29,day,,http://www.linkedin.com/company/1627610
Ready To View,https://www.crunchbase.com/organization/ready-to-view,1-10,Active,http://www.readytoview.com/,info@readytoview.com,213 438 0600,,,,,,,,,"Information Technology, Internet Services","IT Management, Spam Filtering, Web Hosting",,,,,68285,USD,68285,,,"Anaheim, California, United States",Less than $1M,2017-01-01,day,,
Red Sand Media Group,https://www.crunchbase.com/organization/red-sand-media-group,1-10,Closed,https://www.redsandmarketing.com/,,760-444-4595 ,,,,,,,,,"Design, Information Technology, Privacy and Security, Sales and Marketing","Cyber Security, Digital Marketing, Spam Filtering, Web Design",,,,,308029,USD,308029,,,"San Diego, California, United States",Less than $1M,2013-01-01,year,,https://www.linkedin.com/company/redsandmediagroup/
ClearMyMail,https://www.crunchbase.com/organization/clearmymail,1-10,Active,http://www.ClearMyMail.com,dan.field@clearmymail.com,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security","Email, Messaging, Security, Spam Filtering",,,,,276307,USD,276307,,,"Corby, Nottinghamshire, United Kingdom",Less than $1M,2006-02-01,day,"Dan Field, C Buchan",https://www.linkedin.com/company/clearmymail-ltd
MailCleaner,https://www.crunchbase.com/organization/mailcleaner,11-50,Active,http://www.mailcleaner.net,info@mailcleaner.net,+41 21 695 2020,,,,,,,,,"Hardware, Information Technology, Privacy and Security, Software","Security, Software, Spam Filtering, Telecommunications",,,,,,,,,,"Lausanne, Vaud, Switzerland",Less than $1M,1994-01-01,year,,http://www.linkedin.com/company/mailcleaner
SpamDrain AB,https://www.crunchbase.com/organization/spamdrain-ab,1-10,Active,https://spamdrain.com/,,556623-6534,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Email, Software, Spam Filtering",,,,,,,,,,"Göteborg, Vastra Gotaland, Sweden",Less than $1M,2004-01-01,year,,https://www.linkedin.com/company-beta/17901222/
Vamsoft,https://www.crunchbase.com/organization/vamsoft,11-50,Active,https://vamsoft.com/,cs@vamsoft.com,+36 1-999-0632,,,,,,,,,"Information Technology, Software","Enterprise Software, Information Technology, Software, Spam Filtering",,,,,150671,USD,150671,,,"Budapest, Budapest, Hungary",Less than $1M,1995-01-01,year,,https://www.linkedin.com/company/vamsoft-ltd-/
IFTS,https://www.crunchbase.com/organization/ifts,11-50,Active,http://www.ifts-usa.com/,info@ifts-usa.com,732-629-7548,,,,,,,,,"Data and Analytics, Design, Information Technology","Product Research, Spam Filtering",,,,,,,,,,"New Jersey, Saint Patrick, Trinidad and Tobago",Less than $1M,1999-01-01,year,,https://www.linkedin.com/company/international-filter-testing-services-inc-usa/
Spam-Filter.com,https://www.crunchbase.com/organization/spam-filter-com,11-50,Active,http://www.spam-filter.com/,support04@spam-filter.com,(800)966-6047,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Privacy and Security, Software","Cloud Security, Cyber Security, Email, Security, Software, Spam Filtering, Technical Support",,,,,330544,USD,330544,,,"Rehoboth, Massachusetts, United States",Less than $1M,1999-06-01,month,,https://www.linkedin.com/company/spam-filter.com
VERA Software,https://www.crunchbase.com/organization/vera-software,1-10,Active,http://www.verasoftware.de,info@vera-software.com,49-2630-9650290,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Email, Software, Spam Filtering",,,,,,,,,,"Mülheim-kärlich, Rheinland-Pfalz, Germany",Less than $1M,,,,
Discount Store Bargains,https://www.crunchbase.com/organization/discount-store-bargains,1-10,Closed,https://www.discountstorebargains.com,,908-544-8346,,,,,,,,,Information Technology,Spam Filtering,,,,,,,,,,"Warren, New Jersey, United States",,2020-01-01,year,,
