Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
ARC Group Worldwide,https://www.crunchbase.com/organization/arc-group-worldwide,501-1000,Active,https://arcw.com/,Info@arcw.com,+1 386 736-4890,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","3D Printing, Aerospace, Industrial, Industrial Automation, Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering, Plastics and Rubber Manufacturing, Product Design",,,,,2410540,USD,2410540,,,"Longmont, Colorado, United States",$10M to $50M,1987-01-01,year,The Firmament Group,http://www.linkedin.com/company/arc-group-worldwide-inc-
Ford UK,https://www.crunchbase.com/organization/ford-uk,10001+,Active,https://www.ford.co.uk,UKCRC1@ford.com,020 3564 4444,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Transportation","Automotive, Manufacturing, Mechanical Design, Mechanical Engineering, Transportation",7,0,Engineering Elements And Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations,,256695610,USD,256695610,,,"Brentwood, Essex, United Kingdom",,1909-01-01,year,"Advanced Propulsion Centre UK, Ford Pro",https://www.linkedin.com/showcase/forduk/
Dalrada Corporation,https://www.crunchbase.com/organization/dalrada-financial-corp,101-250,Active,http://dalrada.com/,inquiries@dalrada.com,858-283-1253,,,,,,,,,"Consumer Goods, Design, Energy, Hardware, Health Care, Manufacturing, Science and Engineering, Software, Sustainability","Assistive Technology, Clean Energy, Enterprise Software, Green Consumer Goods, Health Care, Manufacturing, Mechanical Design, Mechanical Engineering, Software",,,,,114873,USD,114873,,,"Escondido, California, United States",$10M to $50M,1982-01-01,year,,https://www.linkedin.com/company/dalrada-corporation/
Model Debao,https://www.crunchbase.com/organization/model-debao,51-100,Active,http://www.moldbao.com,sales@moldbao.com,+86 0755-86363500,,,,,,,,,"Design, Hardware, Manufacturing, Software","CAD, Machinery Manufacturing, Manufacturing, Mechanical Design",,,,,,,,,,"Shenzhen, Guangdong, China",,2012-05-01,month,Tencent,
Vectra Automation,https://www.crunchbase.com/organization/velctra-global,51-100,Active,http://vectraglobal.com/,sales@vectraglobal.com, +1 (248) 221-2693,,,,,,,,,"Design, Hardware, Software","Mechanical Design, Product Design, Software",,,,,150000,USD,150000,,,"Cary, North Carolina, United States",$100M to $500M,2011-01-01,year,,https://www.linkedin.com/company/vectra-corp./
Eurospec Manufacturing,https://www.crunchbase.com/organization/eurospec-manufacturing,251-500,Active,http://eurospectooling.com/,sales@eurospectooling.com,905-898-2291,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Transportation","Civil Engineering, Electric Vehicle, Manufacturing, Mechanical Design",,,,,446443,USD,446443,,,"Newmarket, Ontario, Canada",$10M to $50M,1985-01-01,year,"Government of Canada, EdgeStone Partners",https://www.linkedin.com/company/eurospec/
Advantage Machine and Tool,https://www.crunchbase.com/organization/advantage-machine-and-tool,51-100,Active,http://www.advantagemt.com,,+1 519 348 4414,,,,,,,,,"Design, Hardware, Information Technology, Manufacturing, Other, Science and Engineering","Industrial Engineering, Machinery Manufacturing, Mechanical Design, Technical Support",,,,,55386,USD,55386,,,"Ontario, California, United States",$1M to $10M,1992-01-01,year,Canada's Ocean Supercluster,https://www.linkedin.com/company/advantage-machine-&-tool-inc-
Lindhurst Engineering,https://www.crunchbase.com/organization/lindhurst-engineering,51-100,Active,http://lindhurstengineering.co.uk/,Sales@lindhurst.co.uk,01623 557420 ,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial Engineering, Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,845473,USD,845473,,,"Sutton In Ashfield, Nottinghamshire, United Kingdom",$10M to $50M,1985-01-01,year,EASME - EU Executive Agency for SMEs,https://www.linkedin.com/company/lindhurst-engineering/
GRASS,https://www.crunchbase.com/organization/grass,1001-5000,Active,https://www.grass.at/,info@grass.eu,+43 55 787 0100,,,,,,,,,"Consumer Goods, Design, Hardware","Furniture, Mechanical Design, Product Design",144,81,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Common metals and their alloys; ores,21162254,USD,21162254,,,"Höchst, Vorarlberg, Austria",$100M to $500M,1947-01-01,year,,https://www.linkedin.com/company/grass-group/
Kinetic Systems,https://www.crunchbase.com/organization/kinetic-systems,1001-5000,Active,https://www.kinetics.net/,email-usa@kinetics.net,+1 510-683-6000,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Other, Professional Services, Real Estate, Science and Engineering","Construction, Electronics, Industrial Engineering, Management Consulting, Manufacturing, Mechanical Design, Mechanical Engineering, Service Industry",14,10,Physical Or Chemical Processes Or Apparatus In General,Machines and machine tools,29184562,USD,29184562,,,"Fremont, California, United States",$500M to $1B,1973-01-01,year,,https://www.linkedin.com/company/kinetics/
HI-TEC Profiles,https://www.crunchbase.com/organization/hi-tec-profiles,101-250,Active,https://hitecprofiles.com/,info@hitecprofiles.com,306-721-3800,,,,,,,,,"Design, Hardware, Manufacturing","Machinery Manufacturing, Manufacturing, Mechanical Design",,,,,,,,,,"Regina, Saskatchewan, Canada",,1995-01-01,year,"Government of Canada, SaskWorks Venture Fund",https://www.linkedin.com/company/hi-tec-profiles-inc/
Atkore International,https://www.crunchbase.com/organization/atkore-international-inc,1001-5000,Active,https://www.atkore.com,marketing@atkore.com,+1 708 339 1610,,,,,,,,,"Design, Hardware, Manufacturing, Real Estate","Building Material, Manufacturing, Mechanical Design",,,,,89860287,USD,89860287,,,"Harvey, Illinois, United States",$1M to $10M,2010-01-01,year,,http://www.linkedin.com/company/atkore-international
Carlorful,https://www.crunchbase.com/organization/carlorful,51-100,Active,http://www.carlorful.com,,400-820-1733,,,,,,,,,"Design, Hardware, Sports, Transportation","Automotive, Mechanical Design, Recreation",,,,,,,,,,"Huangpu, Shanghai, China",,2014-05-20,day,Zhonglu Capital,
OPEM S.p.A.,https://www.crunchbase.com/organization/opem-s-p-a,101-250,Active,http://www.opem.it,info@opem.it,(+39) 0521 607501 ,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering",5,2,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,Machines and machine tools,136206,USD,136206,,,"Parma, Emilia-Romagna, Italy",$10M to $50M,1974-01-01,year,EASME - EU Executive Agency for SMEs,https://www.linkedin.com/company/opem-s.p.a./
AP Group,https://www.crunchbase.com/organization/alpha-progett-srl,51-100,Active,http://www.alphaprogetti.com,info@alphaprogetti.com,+39 030 373 11 65,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial, Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,54656,USD,54656,,,"Gussago, Lombardia, Italy",$1M to $10M,1994-01-01,year,EASME - EU Executive Agency for SMEs,https://www.linkedin.com/company/alphaprogettigroup/
Tendeg,https://www.crunchbase.com/organization/tendeg,51-100,Active,https://tendeg.com,gregg@tendeg.com,+1 833 414 1868,,,,,,,,,"Design, Hardware, Science and Engineering","Aerospace, Mechanical Design, Mechanical Engineering",12,2,Basic Electric Elements,Scientific and electric apparatus and instruments,40409,USD,40409,,,"Louisville, Colorado, United States",$1M to $10M,2016-01-01,year,,https://www.linkedin.com/company/tendeg-llc/
Tire Rack,https://www.crunchbase.com/organization/tire-rack,501-1000,Active,https://www.tirerack.com/content/tirerack/desktop/en/homepage.html,,+1 888 981 3953,,,,,,,,,"Design, Hardware, Software, Transportation","Automotive, Mechanical Design, Productivity Tools",0,31,,Advertising; business,13109682,USD,13109682,,,"South Bend, Indiana, United States",$1B to $10B,1979-01-01,year,,https://www.linkedin.com/company/the-tire-rack/
ASTOUND Group,https://www.crunchbase.com/organization/astound-group,251-500,Active,https://www.astoundgroup.com/,info@astoundgroup.com,160213 0045,,,,,,,,,"Administrative Services, Design, Events, Hardware, Media and Entertainment, Other, Sales and Marketing","Event Management, Industrial Design, Marketing, Mechanical Design, Project Management, Trade Shows",0,1,,Common metals and their alloys; ores,7871187,USD,7871187,,,"North Las Vegas, Nevada, United States",$50M to $100M,2001-01-01,year,,https://www.linkedin.com/company/astoundgroup/
SrinSoft Technologies,https://www.crunchbase.com/organization/srinsofttech,501-1000,Active,http://www.srinsofttech.com,info@srinsofttech.com,614-333-5277,,,,,,,,,"Design, Hardware, Information Technology, Professional Services, Real Estate, Science and Engineering, Software","CAD, Consulting, Enterprise Software, Information Technology, Interior Design, Mechanical Design, Product Design, Software, Software Engineering",,,,,,,,,,"Dublin, Ohio, United States",$10M to $50M,2005-01-01,year,,https://www.linkedin.com/company/srinsoft-technologies
Aversan,https://www.crunchbase.com/organization/aversan,251-500,Active,https://www.aversan.com,,+1 416 289 1554,,,,,,,,,"Design, Hardware, Science and Engineering, Software","Aerospace, Computer Vision, Mechanical Design",2,2,Controlling,Scientific and technological services,,,,,,"Mississauga, Ontario, Canada",$50M to $100M,2012-01-01,day,,https://www.linkedin.com/company/aversan-inc
Tekton,https://www.crunchbase.com/organization/tekton,101-250,Active,https://www.tekton.com,help@tekton.com,+1 888 648 3371,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software","Manufacturing, Mechanical Design, Mechanical Engineering, Software",11,20,Hand Tools; Portable Power-Driven Tools; Manipulators,Hand tools and implements,,,,,,"Grand Rapids, Michigan, United States",$10M to $50M,1963-01-01,year,,https://www.linkedin.com/company/tekton-inc/
Sherbrooke O.E.M.,https://www.crunchbase.com/organization/sherbrooke-o-e-m,101-250,Active,https://www.sherbrooke-oem.com,,,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial Engineering, Mechanical Design, Mechanical Engineering",,,,,316831,USD,316831,,,"Sherbrooke, Quebec, Canada",,1997-01-01,day,Sustainable Development Technology Canada,https://www.linkedin.com/company/sherbrooke-o.e.m.-ltd
"Curtis Instruments, Inc.",https://www.crunchbase.com/organization/curtis-instruments-inc,1001-5000,Active,https://www.curtisinstruments.com/,,914-666-2971,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Transportation","Automotive, Electric Vehicle, Electronics, Manufacturing, Mechanical Design",9,11,Vehicles In General,Scientific and electric apparatus and instruments,,,,,,"Mount Kisco, New York, United States",$100M to $500M,1960-01-01,year,,https://www.linkedin.com/company/curtis-instruments
Aero Accessories & Repair,https://www.crunchbase.com/organization/aero-accessories-repair-inc,101-250,Active,https://aeroaccessories.us,dvail@aeroaccessories.us,9542661300,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Aerospace, Industrial Manufacturing, Mechanical Design",,,,,670536,USD,670536,,,"Hollywood, Florida, United States",$1M to $10M,2007-04-07,day,"Barings, ATL Partners",https://www.linkedin.com/company/aero-accessories
RNR Tire Express,https://www.crunchbase.com/organization/rnr-tire-express,501-1000,Active,https://www.rnrtires.com/,rc@rnrtires.com,813-977-9800,,,,,,,,,"Commerce and Shopping, Design, Hardware, Transportation","Automotive, E-Commerce, Mechanical Design, Product Design",,,,,700110,USD,700110,,,"Tampa, Florida, United States",$10M to $50M,2000-01-01,year,,https://www.linkedin.com/company/rnr-tire-express-custom-wheels-knoxville/
Kiswok Industries,https://www.crunchbase.com/organization/kiswok-industries,1001-5000,Active,https://www.kiswok.com/,enquiry@kiswok.com,+91 8336906400,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,,,,,,"Domjur, West Bengal, India",$10M to $50M,1957-01-01,year,,https://www.linkedin.com/company/kiswok-industries-pvt-ltd/
Pan-Pacific Mechanical,https://www.crunchbase.com/organization/pan-pacific-mechanical,501-1000,Active,http://ppmechanical.com/,info@ppmech.com,+1 949-474-9170,,,,,,,,,"Design, Hardware, Real Estate, Science and Engineering","Construction, Mechanical Design, Mechanical Engineering",,,,,,,,,,"Fountain Valley, California, United States",$100M to $500M,1947-01-01,year,,https://www.linkedin.com/company/pan-pacific-mechanical/
Premio,https://www.crunchbase.com/organization/premio,101-250,Active,https://premioinc.com/,marketing@premioinc.com,(626)839-3100,,,,,,,,,"Design, Hardware, Internet Services, Manufacturing, Sales and Marketing, Science and Engineering, Software, Transportation","Cloud Computing, Cloud Storage, Digital Signage, Embedded Systems, Flash Storage, Industrial Automation, Industrial Design, Mechanical Design, Supply Chain Management",,,,,5887162,USD,5887162,,,"Los Angeles, California, United States",$100M to $500M,1989-06-01,month,,https://www.linkedin.com/company/premio-inc-
Acument Global Technologies,https://www.crunchbase.com/organization/acument-global-technologies,5001-10000,Active,http://www.acument.com/,salesinfo@acument.com,586-254-3900,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Hardware, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,12492266,USD,12492266,,,"Sterling Heights, Michigan, United States",$100M to $500M,1995-01-01,year,,https://www.linkedin.com/company/acument-global-technologies
Aotecar New Energy Technology,https://www.crunchbase.com/organization/aotecar-new-energy-technology,1001-5000,Active,http://www.aotecar.com/,wu.youfeng@aotecar.com,86-25-5260-2600,,,,,,,,,"Design, Energy, Hardware, Manufacturing, Real Estate, Transportation","Automotive, Energy, Heating, Ventilation, and Air Conditioning (HVAC), Machinery Manufacturing, Manufacturing, Mechanical Design",,,,,,,,,,"Nanjing, Jiangsu, China",$500M to $1B,2002-01-01,day,,https://www.linkedin.com/company/南京奥特佳新能源科技有限公司
LEADING,https://www.crunchbase.com/organization/leading,101-250,Active,http://www.leading.es/,,942 81 40 52,,,,,,,,,"Design, Hardware, Manufacturing, Other, Science and Engineering","Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering, Service Industry",,,,,,,,,,"Santander, Cantabria, Spain",$10M to $50M,1971-01-01,year,EASME - EU Executive Agency for SMEs,https://www.linkedin.com/company/11060105/
Magna International,https://www.crunchbase.com/organization/magna-international,10001+,Active,http://www.magnaelectronics.com,,905-726-2462,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Transportation","Automotive, Electronics, Manufacturing, Mechanical Design",,,,,,,,,,"Aurora, Ontario, Canada",$10B+,1957-01-01,year,,https://www.linkedin.com/company/magna-international/
Gerber Collision & Glass,https://www.crunchbase.com/organization/gerber-collision-glass,1001-5000,Active,https://www.gerbercollision.com/,service@gerbercollision.com,1-877-743-7237,,,,,,,,,"Consumer Goods, Design, Hardware, Other, Transportation","Automotive, Commercial, Consumer Goods, Hardware, Mechanical Design, Transportation",0,4,,Building; repairs,9996561,USD,9996561,,,"Elmhurst, Illinois, United States",$100M to $500M,1937-01-01,year,,https://www.linkedin.com/company/gerbercollision/about/
VPI Technology,https://www.crunchbase.com/organization/vpi-technology,51-100,Active,http://www.vpitechnology.com,info@vpitech.com,(801)495-2310,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering","Consumer Electronics, Electronics, Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,1636982,USD,1636982,,,"Draper, Utah, United States",$10M to $50M,1996-01-01,day,,https://www.linkedin.com/company/vpitech/
ME Engineers,https://www.crunchbase.com/organization/me-engineers,251-500,Active,https://www.me-engineers.com,info@me-engineers.com,+1 303.421.6655,,,,,,,,,"Design, Hardware, Information Technology, Manufacturing, Real Estate, Science and Engineering","Architecture, Construction, Information Technology, Lighting, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,4927459,USD,4927459,,,"Golden, Colorado, United States",,1981-01-01,year,,https://www.linkedin.com/company/me-engineers/
PHPC,https://www.crunchbase.com/organization/phpc,101-250,Active,https://www.phpcco.com/,sales@phpcco.com,,,,,,,,,,"Administrative Services, Design, Hardware, Other, Real Estate, Sales and Marketing","Construction, Mechanical Design, Project Management, Sales",,,,,,,,,,"Makati, Manila, Philippines",,1991-01-01,year,,https://www.linkedin.com/company/phpc-co.-ltd.-inc./about/
Katsa,https://www.crunchbase.com/organization/katsa,251-500,Active,https://www.katsa.fi/en,katsagears@katsa.fi,+358 3 315 151,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial, Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering",0,6,,Machines and machine tools,358993,USD,358993,,,"Tampere, Western Finland, Finland",$1M to $10M,1955-01-01,year,,https://www.linkedin.com/company/katsagears
Winbro Group Technologies,https://www.crunchbase.com/organization/winbro-group-technologies,251-500,Active,https://www.winbrogroup.com,sales@winbrogroup.com,1-803-985-9481,,,,,,,,,"Design, Hardware, Manufacturing, Sales and Marketing","Machinery Manufacturing, Manufacturing, Mechanical Design, Sales",,,,,985476,USD,985476,,,"Rock Hill, South Carolina, United States",$50M to $100M,2003-01-01,day,,https://www.linkedin.com/company/winbro/
Omega Seiki Mobility,https://www.crunchbase.com/organization/omega-seiki-mobility,501-1000,Active,https://omegaseikimobility.com,sales@omegaseikimobility.com,+91 072898 98970,,,,,,,,,"Design, Hardware, Manufacturing, Transportation","Electric Vehicle, Manufacturing, Mechanical Design",,,,,,,,,,"New Delhi, Delhi, India",,2018-01-01,year,,https://www.linkedin.com/company/omegaseikimobility/
Carlisle Brake & Friction,https://www.crunchbase.com/organization/carlisle-brake-friction,251-500,Active,http://www.carlislecbf.com,sales@carlislecbf.com,855.403.9083,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial, Manufacturing, Mechanical Design, Mechanical Engineering",,,,,757672,USD,757672,,,"Medina, Ohio, United States",$100M to $500M,1924-01-01,year,,https://www.linkedin.com/company/carlisle-brake-&-friction
Fortal,https://www.crunchbase.com/organization/fortal,101-250,Active,https://www.fortal.fr,info@fortal.fr,+33 388585353,,,,,,,,,"Design, Hardware, Manufacturing","Industrial, Industrial Manufacturing, Manufacturing, Mechanical Design",0,2,,Common metals and their alloys; ores,,,,,,"Le Chesnay, Ile-de-France, France",,1981-01-01,year,,https://www.linkedin.com/company/fortal-sas/
Tipco Technologies,https://www.crunchbase.com/organization/tipco-technologies,51-100,Active,https://www.tipcotech.com,sales@tipcotec.com,+1 410-356-0003,,,,,,,,,"Commerce and Shopping, Design, Hardware, Manufacturing, Science and Engineering","Manufacturing, Mechanical Design, Mechanical Engineering, Wholesale",,,,,1998684,USD,1998684,,,"Owings Mills, Maryland, United States",$50M to $100M,1888-01-01,year,Platte River Equity,https://www.linkedin.com/company/tipco-technologies/
Sailun Group,https://www.crunchbase.com/organization/sailun-group,10001+,Active,https://www.sailungroup.com,sl@sailuntire.com,400-660-8329,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Manufacturing, Mechanical Design, Mechanical Engineering, Plastics and Rubber Manufacturing",2,138,,Vehicles,,,,,,"Qingdao Shi, Shandong, China",,2002-11-18,day,,https://ca.linkedin.com/company/sailun-group-co-ltd
Peerless Aerospace,https://www.crunchbase.com/organization/peerless-aerospace,51-100,Active,https://www.pafcorp.com,sales@pafcorp.com,1 (631) 420-8200,,,,,,,,,"Commerce and Shopping, Design, Hardware, Science and Engineering","Aerospace, Mechanical Design, Wholesale",0,1,,Advertising; business,221586,USD,221586,,,"Farmingdale, New York, United States",,1952-01-01,year,,https://www.linkedin.com/company/peerless-aerospace-fastener-corp-
Mass,https://www.crunchbase.com/organization/mass-556f,251-500,Active,https://www.massprecision.com,,+1 408 954-0200,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering","Industrial Engineering, Machinery Manufacturing, Manufacturing, Mechanical Design",,,,,,,,,,"San Jose, California, United States",$50M to $100M,1984-01-01,year,,https://www.linkedin.com/company/mass-precision/
SCAG POWER EQUIPMENT,https://www.crunchbase.com/organization/scag-power-equipment,501-1000,Active,https://www.scag.com,marketing@scag.com.,+1 920 644 8100,,,,,,,,,"Design, Hardware, Manufacturing, Other, Science and Engineering","Advanced Materials, Commercial, Industrial Manufacturing, Machinery Manufacturing, Mechanical Design, Product Design",,,,,370819,USD,370819,,,"Mayville, Wisconsin, United States",$10M to $50M,1983-01-01,year,,https://www.linkedin.com/company/scag-power-equipment/
Pepco Group,https://www.crunchbase.com/organization/pepco-group,251-500,Active,https://pepcogroup.com/,info@pepcogroup.com,+971 6572 1712,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Real Estate, Science and Engineering","Civil Engineering, Construction, Electronics, Manufacturing, Mechanical Design",,,,,,,,,,"Al Khan, Sharjah, United Arab Emirates",$1M to $10M,1989-01-01,year,,https://www.linkedin.com/company/pepco-engineering-co-llc/
ATW Companies,https://www.crunchbase.com/organization/atw-companies,251-500,Active,https://atwcompanies.com/,sales@atwcompanies.com,+1-401-244-1002,,,,,,,,,"Commerce and Shopping, Design, Hardware, Health Care, Manufacturing, Natural Resources, Science and Engineering","Aerospace, Industrial Manufacturing, Manufacturing, Mechanical Design, Medical, Medical Device, Precious Metals, Retail, Wholesale",,,,,2183620,USD,2183620,,,"Warwick, Rhode Island, United States",$50M to $100M,1886-01-01,year,,https://www.linkedin.com/company/atw-companies/
Westrock Company,https://www.crunchbase.com/organization/westrock-company,51-100,Active,https://www.westrockusa.com/en/#,info@westrockusa.com,+1 501-228-0330,,,,,,,,,"Design, Hardware, Manufacturing, Natural Resources, Science and Engineering","Industrial Design, Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering, Mining",,,,,30477,USD,30477,,,"Little Rock, Arkansas, United States",$1M to $10M,1981-01-01,year,,https://www.linkedin.com/company/westrock-company-inc./
