Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Boot Barn,https://www.crunchbase.com/organization/boot-barn,1001-5000,Active,https://www.bootbarn.com,custserv@bootbarn.com,(949) 453-4401,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","Fashion, Lifestyle, Retail, Web Design",,,,,,,,,,"Wichita, Kansas, United States",$1B to $10B,1978-01-01,year,Marwit,https://www.linkedin.com/company/boot-barn
IHS,https://www.crunchbase.com/organization/ihs,10001+,Closed,http://www.ihs.com,press@ihs.com,(303) 790-0600,,,,,,,,,"Design, Information Technology, Software, Transportation","Information Technology, Software, Supply Chain Management, Web Design",9,0,Computing; Calculating,,1750838,USD,1750838,,,"Englewood, Colorado, United States",$1B to $10B,1959-01-01,year,,http://www.linkedin.com/company/ihs
Stride,https://www.crunchbase.com/organization/stride-3,51-100,Active,https://www.stride.build,info@stridenyc.com,+1 (212) 634-7240,,,,,,,,,"Design, Other, Professional Services, Software","Consulting, Product Management, Software, Web Design, Web Development",0,2,,Scientific and technological services,46449,USD,46449,,,"New York, New York, United States",$1B to $10B,2014-01-01,year,,https://www.linkedin.com/company/stride-consulting
Wix,https://www.crunchbase.com/organization/wix,1001-5000,Active,http://www.wix.com/,pr@wix.com,(415)517-6539,4,5,2,,,,,,"Design, Information Technology, Internet Services, Other, Software","B2B, Developer Tools, Enterprise Software, Information Technology, Internet, Small and Medium Businesses, Software, Web Design",125,55,Computing; Calculating,Scientific and technological services,,,,,,"Tel Aviv, Tel Aviv, Israel",$1B to $10B,2006-10-05,day,"Mangrove Capital Partners, Insight Partners, Benchmark, Starboard Value, Bessemer Venture Partners",https://www.linkedin.com/company/wix-com/
De' Longhi Group,https://www.crunchbase.com/organization/de-longhi-appliances,10001+,Active,https://www.delonghigroup.com/en,,39-0422-4131,,,,,,,,,"Consumer Goods, Design, Manufacturing, Professional Services","Consumer Goods, Innovation Management, Manufacturing, Web Design",3,260,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Environmental control apparatus,283039646,USD,283039646,,,"Treviso, Veneto, Italy",$1B to $10B,1902-01-01,day,,https://www.linkedin.com/company/de'longhi/
CORE Construction,https://www.crunchbase.com/organization/core-construction-2,1001-5000,Active,http://www.COREconstruction.com,,602-494-0800,,,,,,,,,"Design, Real Estate","Real Estate, Web Design",,,,,62633978,USD,62633978,,,"Flagstaff, Arizona, United States",$1B to $10B,1937-01-01,year,,https://www.linkedin.com/company/core-construction
The Jones Group,https://www.crunchbase.com/organization/the-jones-group,10001+,Closed,http://www.jonesgroupinc.com,press@ninewestgroup.com,212-642-3860,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","E-Commerce, Fashion, Leisure, Lifestyle, Retail, Web Design",,,,,,,,,,"New York, New York, United States",$1B to $10B,1970-01-01,year,,
VF Outlet,https://www.crunchbase.com/organization/vf-outlet,1001-5000,Active,https://vfoutlet.com,,1(866)950-9473,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","Fashion, Lifestyle, Retail, Web Design",,,,,140630,USD,140630,,,"Reading, Pennsylvania, United States",$1B to $10B,1991-01-01,year,,https://www.linkedin.com/company/vf-outlet
OLIN,https://www.crunchbase.com/organization/olin,101-250,Active,http://theolinstudio.com,,215.440.0030,,,,,,,,,Design,"Product Design, Web Design",,,,,1633973,USD,1633973,,,"Philadelphia, Pennsylvania, United States",$1B to $10B,,,,https://www.linkedin.com/company/olin
Braiform,https://www.crunchbase.com/organization/braiform,501-1000,Closed,http://www.braiform.com,,61 3 8795 2250,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing","Fashion, Manufacturing, Product Design, Retail, Web Design",,,,,,,,,,"London, England, United Kingdom",$1B to $10B,2000-01-01,year,,https://www.linkedin.com/company/braiform
Tamrac,https://www.crunchbase.com/organization/tamrac,101-250,Active,https://www.tamrac.com/,,1 ( 385) 405-2700 ,,,,,,,,,"Clothing and Apparel, Design, Hardware, Manufacturing, Software","Fashion, Manufacturing, Virtual Reality, Web Design",,,,,65595,USD,65595,,,"Ogden, Utah, United States",$1B to $10B,1977-01-01,year,,https://www.linkedin.com/company/gura-gear-llc/
"Benchmark Group, Inc.",https://www.crunchbase.com/organization/benchmark-group-inc,101-250,Active,http://teamofchoice.com,marketing@teamofchoice.com,479.636.5004,,,,,,,,,"Design, Professional Services","Consulting, Product Design, Web Design",,,,,1454735,USD,1454735,,,"Rogers, Arkansas, United States",$1B to $10B,1978-01-01,year,,https://www.linkedin.com/company/benchmark-group-llc
Pentagon Information Technology,https://www.crunchbase.com/organization/pentagon-solutions,51-100,Active,https://www.pentame.com/,info@pentame.com,+97126413920,,,,,,,,,"Design, Hardware, Information Technology, Internet Services, Sales and Marketing, Science and Engineering, Software","Information Technology, Internet, Robotics, SEO, Software, Web Design, Web Development",,,,,692577,USD,692577,,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",$1B to $10B,1996-07-01,day,,https://www.linkedin.com/company/pentasolutions
Focus A-Z Entertainment Private Limited,https://www.crunchbase.com/organization/focus-a-z-entertainment-private-limited,501-1000,Active,https://focusatoz.wordpress.com,,,,,,,,,,,"Advertising, Design, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Marketing, Social Media, Web Design",,,,,,,,,,"San Francisco, California, United States",$1B to $10B,1985-01-01,year,,https://www.linkedin.com/company/studio-dentistico
Newwebdesign.com Reviews,https://www.crunchbase.com/organization/newwebdesign-reviews,251-500,Active,https://newwebdesignreviews.wordpress.com/,,(800)587-5355,,,,,,,,,"Design, Internet Services, Sales and Marketing","Marketing, SEO, Web Design",,,,,,,,,,"New York, New York, United States",$1B to $10B,2002-01-01,year,,https://www.linkedin.com/company/studio-dentistico
SunOpta,https://www.crunchbase.com/organization/sunopta-bioprocess,1001-5000,Active,https://www.sunopta.com/,bioprocess@sunopta.com,+1 905-455-1990,,,,,,,,,"Biotechnology, Design, Food and Beverage, Manufacturing, Science and Engineering","Biotechnology, Food and Beverage, Food Processing, Manufacturing, Plant-Based Foods, Web Design",1,77,Furnaces; Kilns; Ovens,Meats and prepared or preserved foods; dairy products,21104823,USD,21104823,,,"Brampton, Ontario, Canada",$500M to $1B,1973-01-01,year,"Oaktree Capital Management, Engaged Capital LLC",https://www.linkedin.com/company/sunopta
DXL Group,https://www.crunchbase.com/organization/dxl-group,1001-5000,Active,https://www.dxl.com/,help@destinationxl.com,+855 8557467395,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Electronics, Consumer Goods, Design, Hardware","Drones, E-Commerce, Fashion, Retail, Web Design",0,82,,Clothing; footwear; headgear,,,,,,"Canton, Massachusetts, United States",$500M to $1B,1976-01-01,year,,https://www.linkedin.com/company/dxl-group/
Armstrong Flooring,https://www.crunchbase.com/organization/armstrong-flooring,5001-10000,Active,https://www.armstrongflooring.com,ir@armstrongflooring.com,866.508.2766,,,,,,,,,"Design, Manufacturing, Real Estate","Building Material, Manufacturing, Product Design, Real Estate, Web Design",0,1,,Non-metallic building materials,28361300,USD,28361300,,,"Lancaster, Pennsylvania, United States",$500M to $1B,1860-01-01,year,Pathlight Capital,https://www.linkedin.com/company/armstrong-flooring
Falck Renewables,https://www.crunchbase.com/organization/falck-renewables,501-1000,Active,https://www.falckrenewables.com/,ukprojects@falckgroup.eu,44-1463 246360,,,,,,,,,"Design, Energy, Natural Resources, Software, Sustainability","Energy, Solar, Web Design, Web Development",5,7,Machine Tools,Advertising; business,29229910,USD,29229910,,,"Milan, Lombardia, Italy",$500M to $1B,2010-01-01,day,Macquarie Asset Management,https://www.linkedin.com/company/falck-renewables-spa/
ABC Entertainment,https://www.crunchbase.com/organization/abc,10001+,Active,https://abc.com/,abc@abc.com,+1-212-456-7777,1,1,,,,,,,"Advertising, Content and Publishing, Design, Internet Services, Media and Entertainment, Music and Audio, Sales and Marketing, Software","Advertising, Digital Marketing, Digital Media, Media and Entertainment, Music, News, Social Media, Web Design, Web Development",0,1,,Advertising; business,,,,,,"New York, New York, United States",$500M to $1B,1946-01-01,year,,
kyu Collective,https://www.crunchbase.com/organization/kyu-collective,1001-5000,Active,https://www.kyu.com,thecollective@kyu.com,1(646)926-5163,2,2,1,,,,,,"Advertising, Design, Sales and Marketing","Advertising, Web Design",,,,,5577009,USD,5577009,,,"New York, New York, United States",$500M to $1B,2014-01-01,year,,https://www.linkedin.com/company/kyu-collective
SIA,https://www.crunchbase.com/organization/sia,1001-5000,Active,https://www.sia.eu/en,info@sia.eu,(390)260-841,,,,,,,,1,"Design, Financial Services, Lending and Investments","Banking, Financial Services, Web Design",,,,,18881285,USD,18881285,,,"Milan, Lombardia, Italy",$500M to $1B,1977-01-01,year,HAT Sicaf SpA,https://www.linkedin.com/company/sia-s-p-a-/
Shop LC,https://www.crunchbase.com/organization/shop-lc,101-250,Active,https://www.shoplc.com/,info@shoplc.com,(877)899-0099,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Internet Services","E-Commerce, Fashion, Jewelry, Lifestyle, Online Auctions, Online Portals, Shopping, Web Design",,,,,,,,,,"Austin, Texas, United States",$500M to $1B,2007-01-01,year,,https://www.linkedin.com/company/shop-lc
Maritz,https://www.crunchbase.com/organization/maritz,1001-5000,Active,http://www.maritz.com,,+1 636-827-4000,1,1,,,,,,,"Data and Analytics, Design, Hardware","Market Research, Telecommunications, Web Design",,,,,116886831,USD,116886831,,,"Fenton, Missouri, United States",$500M to $1B,1894-01-01,year,,http://www.linkedin.com/company/maritz
Elizabeth Arden,https://www.crunchbase.com/organization/elizabeth-arden-unilever,1001-5000,Active,http://www.elizabetharden.com,consumer@elizabetharden.com,(540) 983-1722,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Health Care","Beauty, Consumer Goods, Cosmetics, Fashion, Health Care, Lifestyle, Retail, Web Design",4,53,Medical Or Veterinary Science; Hygiene,"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",,,,,,"Pembroke Pines, Florida, United States",$500M to $1B,1910-01-01,year,,https://www.linkedin.com/company/elizabeth-arden
Propper International,https://www.crunchbase.com/organization/propper-international,101-250,Active,http://propper.com,customerservice@propper.com,800.296.9690,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","Apparel, E-Commerce, Fashion, Leisure, Lifestyle, Web Design",0,25,,Clothing; footwear; headgear,29500000,USD,29500000,,,"St. Charles, Missouri, United States",$500M to $1B,1967-01-01,year,,https://www.linkedin.com/company/propper-international
Cadmus,https://www.crunchbase.com/organization/cadmus,501-1000,Active,http://www.cadmus.com.br,comercial@cadmus.com.br,,,,,,,,,,"Commerce and Shopping, Design, Information Technology, Internet Services, Software","E-Commerce, Information Technology, Internet, Software, Web Design",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$500M to $1B,1999-01-01,day,,https://www.linkedin.com/company/cadmus-solu-es-em-ti
Isuzu Motors,https://www.crunchbase.com/organization/isuzu-motors,251-500,Active,http://www.isuzu.com/,,714-935-9300,1,1,,,,,,,"Design, Manufacturing, Transportation","Automotive, Manufacturing, Web Design",,,,,1364804,USD,1364804,,,"Anaheim, California, United States",$500M to $1B,1975-01-01,year,,https://www.linkedin.com/company/isuzunorthamerica
Meyer,https://www.crunchbase.com/organization/meyer,101-250,Active,http://meyerdesigninc.com,info@meyerdesigninc.com,610.649.8500,,,,,,,,,"Design, Professional Services, Real Estate","Consulting, Product Design, Real Estate, Web Design",,,,,919028,USD,919028,,,"Ardmore, Pennsylvania, United States",$500M to $1B,1976-01-01,year,,https://www.linkedin.com/company/meyer-design-inc-
M&Co,https://www.crunchbase.com/organization/m-co,1001-5000,Active,https://www.mandco.com/,enquiries@b.co.uk,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","E-Commerce, Fashion, Lifestyle, Retail, Web Design",0,3,,Clothing; footwear; headgear,,,,,,"Inchinnan, Renfrewshire, United Kingdom",$500M to $1B,1962-01-01,year,,https://www.linkedin.com/company/m&co/?originalSubdomain=in
Marcum Strategic Marketing,https://www.crunchbase.com/organization/marcum-strategic-marketing,1001-5000,Active,https://www.marcumstrategicmarketing.com,info@marcumllp.com,+1 855 627 2861,,,,,,,,,"Design, Professional Services, Sales and Marketing","Brand Marketing, Consulting, Digital Marketing, Email Marketing, Marketing, Web Design",,,,,,,,,,"Nyack, New York, United States",$500M to $1B,1951-01-01,year,,https://www.linkedin.com/company/marcum-llp/
Televisio de Catalunya,https://www.crunchbase.com/organization/televisio-de-catalunya,51-100,Active,http://www.ccma.cat/tv3/,,34 934 99 93 33,,,,,,,,,"Design, Media and Entertainment, Video","Broadcasting, Product Design, Web Design",,,,,,,,,,"Barcelona, Catalonia, Spain",$500M to $1B,1983-01-01,year,,https://www.linkedin.com/company/ccma-tv3-catradio
Labelux,https://www.crunchbase.com/organization/labelux,5001-10000,Closed,http://www.labeluxgroup.com/,info@jabholco.com,41916129112,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","Consumer Goods, Fashion, Lifestyle, Retail, Web Design",,,,,,,,,,,$500M to $1B,2007-01-01,year,,
EdRic Hosting,https://www.crunchbase.com/organization/edric-host,251-500,Active,https://www.edrichost.net/,sales@edrichost.net,,,,,,,,,,"Commerce and Shopping, Design, Information Technology, Internet Services, Privacy and Security, Software","E-Commerce Platforms, Identity Management, Internet, Open Source, Web Design, Web Development, Web Hosting",,,,,,,,,,"Fort Lauderdale, Florida, United States",$500M to $1B,2004-09-01,day,,
Zinfra Group,https://www.crunchbase.com/organization/zinfra-group,1001-5000,Active,https://www.zinfragroup.com,adnan@zinfragroup.com,974 3168 5940,,,,,,,,,"Content and Publishing, Design, Media and Entertainment, Sales and Marketing, Video","Digital Marketing, Digital Media, Graphic Design, Video Editing, Web Design",,,,,,,,,,"Doha, Ad Dawhah, Qatar",$500M to $1B,,,,
Franciscan Solutions,https://www.crunchbase.com/organization/franciscan-solutions-official,501-1000,Active,https://www.franciscansolutions.com.au/,contact@franciscansolutions.com,+61 470544090,,,,,,,,,"Commerce and Shopping, Design, Information Technology, Software","E-Commerce, Enterprise Resource Planning (ERP), Graphic Design, Information Technology, Software, Web Design",,,,,,,,,,"Melbourne, Victoria, Australia",$500M to $1B,2007-01-01,year,,https://www.linkedin.com/company/franciscan-solutions-pvt-ltd/
Stillwater,https://www.crunchbase.com/organization/stillwater-316d,1001-5000,Active,https://stillwaterworks.jp/,,1 03-6672-6928,,,,,,,,,"Design, Information Technology, Software","Graphic Design, Information Technology, Web Design, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",$500M to $1B,2012-02-01,month,,https://www.linkedin.com/company/stillwater
ISDDesign,https://www.crunchbase.com/organization/isddesign,51-100,Active,http://isddesign.com,sales@isddesign.com,+38 099 175 72 59,,,,,,,,,"Design, Information Technology, Mobile, Platforms, Professional Services, Software","Consulting, Information Technology, iOS, Mobile, Software, Web Design",,,,,,,,,,"Shevchenko, Khersons'ka Oblast', Ukraine",$500M to $1B,2011-01-01,year,,https://www.linkedin.com/company/3020410/
Automattic,https://www.crunchbase.com/organization/automattic,1001-5000,Active,http://automattic.com,,(877) 273-3049,18,19,5,1,,,,,"Commerce and Shopping, Content and Publishing, Design, Media and Entertainment, Software","Blogging Platforms, Content, E-Commerce, Web Design, Web Development",1,53,Electric Communication Technique,Scientific and technological services,3348037,USD,3348037,,,"San Francisco, California, United States",$100M to $500M,2005-01-01,year,"The New York Times, Polaris Partners, ICONIQ Growth, Aglaé Ventures, BlackRock",http://www.linkedin.com/company/automattic
Superside,https://www.crunchbase.com/organization/konsus,101-250,Active,https://www.superside.com,hello@superside.com,,,,,,,,,,"Design, Information Technology, Professional Services, Sales and Marketing, Software","CRM, Freelance, Graphic Design, Information Technology, Web Design",0,4,,Advertising; business,18366052,USD,18366052,,,"Palo Alto, California, United States",$100M to $500M,2015-11-01,month,"Slack, Y Combinator, Prosus Ventures, Freestyle Capital, Paul Buchheit",https://www.linkedin.com/company/superside
Opera,https://www.crunchbase.com/organization/opera-software-as,501-1000,Active,https://www.opera.com,,+472 369 2400,2,2,1,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Financial Services, Internet Services, Mobile, Payments, Platforms, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), iOS, Marketing, Mobile Apps, Mobile Payments, Software, Web Browsers, Web Design",,,,,,,,,,"Oslo, Oslo, Norway",$100M to $500M,1995-01-01,year,,https://www.linkedin.com/company/opera-software
Kape Technologies,https://www.crunchbase.com/organization/crossrider,101-250,Active,http://www.kape.com,contact@crossrider.com,,,,,,,,,,"Advertising, Apps, Commerce and Shopping, Design, Information Technology, Media and Entertainment, Sales and Marketing, Software","Advertising Platforms, App Marketing, Apps, Digital Media, E-Commerce, Information Technology, Product Design, Software, Web Design",,,,,,,,,,"London, England, United Kingdom",$100M to $500M,2011-04-17,day,"Ido Erlichman, Pierre-Etienne Lallia, Oded, Dan Pomerantz, Unikmind",https://www.linkedin.com/company/kape-com/
WebFX,https://www.crunchbase.com/organization/webfx,101-250,Active,https://www.webfx.com,sales@webfx.com,(717)609-1553,,,,,,,,,"Advertising, Design, Internet Services, Sales and Marketing, Software","Advertising, Content Marketing, SEM, SEO, Social Media Marketing, Web Design, Web Development",,,,,20061983,USD,20061983,,,"Harrisburg, Pennsylvania, United States",$100M to $500M,1997-12-17,day,Trilantic North America,https://www.linkedin.com/company/webfxinc/
Webflow,https://www.crunchbase.com/organization/webflow,501-1000,Active,http://www.webflow.com,contact@webflow.com,+1 415-964-0555,,,,,,,,,"Design, Information Technology, Internet Services, Software","CMS, Web Design, Web Hosting",0,8,,Scientific and technological services,12603150,USD,12603150,,,"San Francisco, California, United States",$100M to $500M,2013-01-01,year,"Y Combinator, CapitalG, Amino Capital, Khosla Ventures, Silversmith Capital Partners",http://www.linkedin.com/company/webflow-inc-
Photobox,https://www.crunchbase.com/organization/photobox-co-uk,501-1000,Active,https://www.photobox.co.uk,,+010916-1128,,,,,,,,,"Clothing and Apparel, Content and Publishing, Design, Internet Services, Media and Entertainment","Fashion, Internet, Photo Sharing, Photography, Printing, Web Design",0,23,,"Paper, cardboard and goods made from these materials",4724498,USD,4724498,,,"London, England, United Kingdom",$100M to $500M,2000-01-01,year,"HarbourVest Partners, NatWest Group, Greenspring Associates, Highland Europe, Barclays Corporate Banking",https://www.linkedin.com/company/photobox
IMMI,https://www.crunchbase.com/organization/immi-2,501-1000,Active,http://www.imminet.com,info@imminet.com,(317) 896-2142,,,,,,,,,"Design, Hardware, Manufacturing","Industrial Design, Manufacturing, Product Design, Web Design",101,59,Vehicles In General,Vehicles,9079834,USD,9079834,,,"Westfield, Indiana, United States",$100M to $500M,1961-01-01,year,Indiana Economic Development Corporation,https://www.linkedin.com/company/immi/
Caffe Bene,https://www.crunchbase.com/organization/caffe-bene,1001-5000,Active,http://www.caffebene.com/,caffebene@caffebene.co.kr,(026)190-1599,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Design, Food and Beverage, Other, Professional Services","Coffee, Customer Service, E-Commerce, Food and Beverage, Lifestyle, Web Design",,,,,,,,,,"Kangnam, Cholla-namdo, South Korea",$100M to $500M,2008-01-01,year,Hallyu Ventures,https://www.linkedin.com/company/caffe-bene
Bounteous,https://www.crunchbase.com/organization/bounteous,1001-5000,Active,http://www.bounteous.com,bsocial@bounteous.com,(877) 220-5862,,,,,,,,,"Design, Information Technology, Internet Services, Professional Services, Sales and Marketing","Brand Marketing, Consulting, Information Services, Information Technology, Internet, Web Design",0,5,,Advertising; business,33849948,USD,33849948,,,"Chicago, Illinois, United States",$100M to $500M,2003-01-01,year,New Mountain Capital,https://www.linkedin.com/company/bounteous
Hero Digital,https://www.crunchbase.com/organization/hero-digital,251-500,Active,http://www.herodigital.com/,business@herodigital.com,+1 (800) 760-4376,,,,,,,,,"Advertising, Design, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Consulting, Digital Marketing, Digital Media, Marketing, Web Design, Web Development",0,1,,Advertising; business,11806781,USD,11806781,,,"San Francisco, California, United States",$100M to $500M,2014-01-01,year,,https://www.linkedin.com/company/herodigitalhq/
411 Locals,https://www.crunchbase.com/organization/411-locals,251-500,Active,http://411locals.com,info@411locals.com,(866)391-0622,,,,,,,,,"Advertising, Design, Internet Services, Other, Sales and Marketing","Advertising, SEO, Small and Medium Businesses, Web Design",,,,,11806704,USD,11806704,,,"Las Vegas, Nevada, United States",$100M to $500M,2007-06-18,day,,https://www.linkedin.com/company/411-locals
Amsive,https://www.crunchbase.com/organization/amsive,501-1000,Active,https://amsive.com,letstalk@amsive.com,+1 331 318 7800,,,,,,,,,"Data and Analytics, Design, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Analytics, Digital Marketing, Email, Marketing, SEO, Web Design, Web Development",,,,,10934588,USD,10934588,,,"Bolingbrook, Illinois, United States",$100M to $500M,1980-01-01,year,,https://www.linkedin.com/amsive
TA Digital,https://www.crunchbase.com/organization/ta-digital,501-1000,Active,https://www.tadigital.com,info@tadigital.com,+1 510-962-3200,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, Digital Marketing, E-Commerce, Enterprise Resource Planning (ERP), Marketing, Marketing Automation, Web Design, Web Development",0,2,,Scientific and technological services,22301646,USD,22301646,,,"Newark, California, United States",$100M to $500M,2000-01-01,year,,https://www.linkedin.com/company/ta-digital-inc
Folio3,https://www.crunchbase.com/organization/folio3,501-1000,Active,https://www.folio3.com,contact@folio3.com,+1 408 365 4638,,,,,,,,,"Commerce and Shopping, Design, Hardware, Information Technology, Internet Services, Manufacturing, Sales and Marketing, Science and Engineering, Software","E-Commerce Platforms, Industrial Automation, Marketing Automation, Retail Technology, Sales Automation, Software, Web Design, Web Development, Web Hosting",,,,,13163912,USD,13163912,,,"San Mateo, California, United States",$100M to $500M,2005-01-01,year,,https://www.linkedin.com/company/folio3
