Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Pipefy,https://www.crunchbase.com/organization/pipefy,501-1000,Active,http://www.pipefy.com,communication@pipefy.com,,,,,,,,,,"Information Technology, Sales and Marketing, Software","Information Technology, Marketing Automation, SaaS, Sales Automation, Software",0,4,,Scientific and electric apparatus and instruments,8103587,USD,8103587,,,"San Francisco, California, United States",$100M to $500M,2013-01-01,year,"500 Global, Long Journey Ventures, Valor Capital Group, Trinity Ventures, CSC Upshot",https://www.linkedin.com/company/pipefy
G2,https://www.crunchbase.com/organization/g2-crowd,501-1000,Active,https://www.g2.com,sales@g2.com,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Other, Sales and Marketing, Software","B2B, Business Intelligence, Consumer Reviews, Enterprise Software, Marketing Automation, Marketplace, Software",0,6,,Advertising; business,15753900,USD,15753900,,,"Chicago, Illinois, United States",$100M to $500M,2012-05-01,day,"Emergence, Permira, Hyde Park Venture Partners, Pritzker Group Venture Capital, Accel",https://www.linkedin.com/company/g2dotcom
Bloomreach,https://www.crunchbase.com/organization/bloomreach,501-1000,Active,http://www.bloomreach.com,info@bloomreach.com,,,,,,,,,,"Information Technology, Sales and Marketing, Software","Information Technology, Marketing Automation, Software, Web Development",35,8,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Mountain View, California, United States",$100M to $500M,2009-03-01,month,"JP Morgan Chase, Bain Capital Ventures, Sixth Street, Goldman Sachs Asset Management, Lightspeed Venture Partners",https://www.linkedin.com/company/bloomreach
Pipedrive,https://www.crunchbase.com/organization/pipedrive,501-1000,Active,https://www.pipedrive.com,team@pipedrive.com,,1,1,,,,,,,"Information Technology, Sales and Marketing, Software","CRM, Marketing Automation, SaaS, Sales Automation, Software",,,,,26781600,USD,26781600,,,"New York, New York, United States",$100M to $500M,2010-06-21,day,"monashees, Storm Ventures, DTCP, SquareOne Venture Capital, AngelPad",https://www.linkedin.com/company/pipedrive
Treasure Data,https://www.crunchbase.com/organization/treasure-data,501-1000,Active,http://www.treasuredata.com,info@treasure-data.com,+1 866 899 5386,,,,,,,,,"Data and Analytics, Internet Services, Sales and Marketing, Software","Analytics, Big Data, Cloud Computing, Data Management, Marketing Automation, Software",5,2,,Education; entertainment,9721897,USD,9721897,,,"Mountain View, California, United States",$100M to $500M,2011-01-01,year,"SoftBank, Scale Venture Partners, Sierra Ventures, AME Cloud Ventures, Dentsu",https://www.linkedin.com/company/treasure-data-inc-
Adjust,https://www.crunchbase.com/organization/adjust-bi,501-1000,Active,https://www.adjust.com/,info@adjust.com,,,,,,,,,,"Advertising, Apps, Data and Analytics, Sales and Marketing, Software","Analytics, App Marketing, Apps, Marketing Automation, Mobile Advertising, Software",,,,,15066757,USD,15066757,,,"Berlin, Berlin, Germany",$100M to $500M,2012-01-01,year,"Eurazeo, Sofina, Capnamic Ventures, IRIS, Highland Europe",https://www.linkedin.com/company/adjustcom/
Bynder,https://www.crunchbase.com/organization/bynder,501-1000,Active,https://www.bynder.com,info@bynder.com,+31208203740,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Asset Management, Brand Marketing, Digital Marketing, Document Management, File Sharing, Marketing Automation, SaaS",0,6,,Scientific and technological services,11341641,USD,11341641,,,"Amsterdam, Noord-Holland, The Netherlands",$100M to $500M,2013-01-01,month,"Insight Partners, CNBB Venture Partners",https://linkedin.com/company/bynder
Centerfield,https://www.crunchbase.com/organization/centerfield-media,1001-5000,Active,http://www.centerfield.com,,310-341-4420,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Marketing Automation, SEM, Software",0,5,,Advertising; business,25311113,USD,25311113,,,"Playa Vista, California, United States",$100M to $500M,2011-01-01,year,"H.I.G. Capital, H.I.G. Growth Partners, Prospect Capital Corporation",https://www.linkedin.com/company/1693595/
Take Blip,https://www.crunchbase.com/organization/take-blip,1001-5000,Active,https://take.net/en/,marketing@take.net,+55 31 3349-6201,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Chatbot, Customer Service, Information and Communications Technology (ICT), Marketing Automation, Messaging, Natural Language Processing, Sales Automation, Text Analytics",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,1999-07-01,month,"Warburg Pincus, Hugo Barra",https://www.linkedin.com/company/takeblip/
Keap,https://www.crunchbase.com/organization/keap-bcdd,251-500,Active,https://keap.com,sales@keap.com,+1 866 800 0004,,,,,,,,,"Information Technology, Sales and Marketing, Software","CRM, Email Marketing, Enterprise Software, Information Services, Lead Management, Marketing Automation, Software",0,18,,Scientific and technological services,5510927,USD,5510927,,,"Chandler, Arizona, United States",$100M to $500M,2001-01-01,year,"Bain Capital Ventures, Goldman Sachs, Arthur Ventures, Mohr Davidow Ventures, Signal Peak Ventures",https://www.linkedin.com/company/keap-growing
Crunchbase,https://www.crunchbase.com/organization/crunchbase,101-250,Active,https://www.crunchbase.com,info@crunchbase.com,,,,,,,,,,"Data and Analytics, Information Technology, Sales and Marketing, Software","Business Intelligence, Database, Information Services, Lead Generation, Marketing Automation, Software",0,7,,Scientific and technological services,5360400,USD,5360400,,,"San Francisco, California, United States",$100M to $500M,2007-07-01,month,"Emergence, Cowboy Ventures, OMERS Ventures, Verizon Ventures, AOL",http://www.linkedin.com/company/crunchbase
Basis Technologies,https://www.crunchbase.com/organization/basistech,501-1000,Active,http://basis.com,info@basis.com,312 423 1565,,,,,,,,,"Advertising, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Cloud Data Services, Digital Media, Enterprise Software, Information Technology, Marketing, Marketing Automation, Software",0,10,,Advertising; business,31507800,USD,31507800,,,"Chicago, Illinois, United States",$100M to $500M,2001-10-15,day,"Neuberger Berman, FTV Capital",https://www.linkedin.com/company/basis-technologies/
Emarsys,https://www.crunchbase.com/organization/emarsys,501-1000,Active,http://emarsys.com,us@emarsys.com,1(844) 693-6277,,,,,,,,,"Data and Analytics, Other, Sales and Marketing, Software","Analytics, B2C, Marketing Automation, SaaS, Software",0,1,,Scientific and electric apparatus and instruments,34950773,USD,34950773,,,"Vienna, Wien, Austria",$100M to $500M,2000-09-01,day,Vector Capital,https://www.linkedin.com/company/emarsys
Tapjoy,https://www.crunchbase.com/organization/tapjoy,101-250,Active,http://www.tapjoy.com,info@tapjoy.com,415-766-6900,,,,,,,,,"Advertising, Apps, Mobile, Platforms, Sales and Marketing, Software","Advertising, Android, Apps, Brand Marketing, iOS, Marketing Automation, Mobile, Mobile Apps",16,20,Computing; Calculating,Advertising; business,5378678,USD,5378678,,,"San Francisco, California, United States",$100M to $500M,2007-01-01,year,"D. E. Shaw & Co., JPMorgan Partners, InterWest Partners, North Bridge Venture Partners & Growth Equity, Rho Capital Partners",http://www.linkedin.com/company/tapjoy
Locaweb,https://www.crunchbase.com/organization/locaweb,501-1000,Active,https://institucional.locaweb.com.br/en/,ri@locaweb.com.br,55 11 3544 0500,2,2,,,,,,,"Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Sales and Marketing, Software","E-Commerce Platforms, Enterprise Resource Planning (ERP), Marketing Automation, Mobile Apps, Payments, Personalization, Point of Sale, Social Media Marketing, Social Shopping, Software",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",$100M to $500M,1998-01-01,year,Silver Lake,http://www.linkedin.com/company/locaweb/
Intercom,https://www.crunchbase.com/organization/intercom,501-1000,Active,http://www.intercom.com,team@intercom.com,+1 415-673-3820,1,1,,,,,,,"Information Technology, Sales and Marketing, Software","CRM, Marketing Automation, SaaS, Sales Automation",5,9,Computing; Calculating,Scientific and technological services,1885910,USD,1885910,,,"San Francisco, California, United States",$100M to $500M,2011-08-01,month,"500 Global, Social Capital, ICONIQ Growth, Google Ventures, Freestyle Capital",https://www.linkedin.com/company/intercom
Klaviyo,https://www.crunchbase.com/organization/klaviyo,1001-5000,Active,http://www.klaviyo.com,hello@klaviyo.com,857-400-7060,,,,,,,,,"Advertising, Commerce and Shopping, Data and Analytics, Sales and Marketing, Software","Advertising, Analytics, E-Commerce, Marketing Automation, Software",5,13,,Advertising; business,569400,USD,569400,,,"Boston, Massachusetts, United States",$100M to $500M,2012-01-01,year,"Employee Stock Option Fund, Summit Partners, Sands Capital Ventures, Lone Pine Capital, Owl Rock Capital",http://www.linkedin.com/company/klaviyo
Demandbase,https://www.crunchbase.com/organization/demandbase,501-1000,Active,http://www.demandbase.com,info@demandbase.com,(415) 683-2660,,,,,,,,,"Advertising, Data and Analytics, Information Technology, Other, Sales and Marketing, Software","Advertising, Analytics, B2B, Big Data, Marketing, Marketing Automation, SaaS, Sales Automation, Software",6,2,Computing; Calculating,Advertising; business,,,,,,"San Francisco, California, United States",$100M to $500M,2007-01-01,year,"Sutter Hill Ventures, Scale Venture Partners, Costanoa Ventures, Sageview Capital, Greenspring Associates",http://www.linkedin.com/company/demandbase
Braze,https://www.crunchbase.com/organization/braze,1001-5000,Active,https://www.braze.com,hello@braze.com,+15043277269,,,,,,,,,"Data and Analytics, Information Technology, Sales and Marketing, Software","Analytics, CRM, Marketing, Marketing Automation, Software",25,17,Electric Communication Technique,Scientific and technological services,27423928,USD,27423928,,,"New York, New York, United States",$100M to $500M,2011-01-01,year,"Snowflake, ICONIQ Growth, Compound, Meritech Capital Partners, Blumberg Capital",https://www.linkedin.com/company/braze
ActiveCampaign,https://www.crunchbase.com/organization/activecampaign,1001-5000,Active,http://www.activecampaign.com,sales@activecampaign.com,(800) 357-0402,,,,,,,,,"Apps, Sales and Marketing, Software","Apps, Email Marketing, Marketing Automation, Software",,,,,,,,,,"Chicago, Illinois, United States",$100M to $500M,2003-01-01,year,"Dragoneer Investment Group, Susquehanna Growth Equity, Silversmith Capital Partners, Tiger Global Management",http://www.linkedin.com/company/221390
UserTesting,https://www.crunchbase.com/organization/usertesting-com,501-1000,Active,http://www.usertesting.com,support@UserTesting.com,1-888-877-1882,,,,,,,,,"Data and Analytics, Design, Other, Sales and Marketing, Software","Consumer Research, Market Research, Marketing Automation, Product Management, SaaS",1,1,,Scientific and electric apparatus and instruments,,,,,,"San Francisco, California, United States",$100M to $500M,2007-01-01,year,"Employee Stock Option Fund, Scottish Enterprise, Greenspring Associates, Bradley Horowitz, Accel",https://www.linkedin.com/company/usertesting-com
CU Direct,https://www.crunchbase.com/organization/cu-direct,501-1000,Active,https://www.cudirect.com,customercare@cudirect.com,+1 (877)744-2835,1,1,,,,,,,"Commerce and Shopping, Data and Analytics, Financial Services, Hardware, Information Technology, Professional Services, Sales and Marketing, Science and Engineering, Software","Analytics, Consulting, CRM, Financial Services, Lending, Marketing Automation, Marketplace, Point of Sale, Robotics",,,,,1039698,USD,1039698,,,"Ontario, California, United States",$100M to $500M,1994-01-01,year,,https://www.linkedin.com/company-beta/25690
Adestra,https://www.crunchbase.com/organization/adestra,101-250,Active,https://uplandsoftware.com,support@adestra.com,1-855-835-0471,,,,,,,,,"Advertising, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software","Advertising Platforms, Big Data, Data Integration, Email, Email Marketing, Enterprise Software, Marketing Automation, Messaging, SaaS",,,,,24482437,USD,24482437,,,"Oxford, Oxfordshire, United Kingdom",$100M to $500M,2004-01-01,year,Business Growth Fund,https://www.linkedin.com/company/adestra
iClick Interactive,https://www.crunchbase.com/organization/iclick-interactive,1001-5000,Active,http://www.i-click.com/,sales_hk@i-click.com,852 3700 9000,1,1,1,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Advertising Platforms, Digital Marketing, Marketing Automation",0,0,,Scientific and electric apparatus and instruments,,,,,,"Quarry Bay, Hong Kong Island, Hong Kong",$100M to $500M,2009-01-01,year,"BAI capital, Sumitomo Corporation Equity Asia, SSG Capital",https://www.linkedin.com/company/iclick-interactive-asia-limited
Hybrid,https://www.crunchbase.com/organization/hybrid,101-250,Active,http://hybrid.ai/,sales@hybrid.ai,+48 601 26 56 78,,,,,,,,,"Advertising, Hardware, Sales and Marketing, Software","Advertising, Advertising Platforms, Digital Marketing, DSP, Marketing Automation",0,1,,Education; entertainment,,,,,,"Warsaw, Mazowieckie, Poland",$100M to $500M,2011-02-23,day,,https://www.linkedin.com/company/hybrid-adtech-inc./
PubMatic,https://www.crunchbase.com/organization/pubmatic,501-1000,Active,http://www.pubmatic.com,info@pubmatic.com,(650) 331-3485,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Internet, Marketing Automation",9,8,Computing; Calculating,Scientific and technological services,35677800,USD,35677800,,,"Redwood City, California, United States",$100M to $500M,2006-10-01,day,"Nexus Venture Partners, NGP Capital, August Capital, Silicon Valley Bank, SharesPost Investment Management",http://www.linkedin.com/company/pubmatic
Marketo,https://www.crunchbase.com/organization/marketo,501-1000,Active,http://www.marketo.com,sales@marketo.com,+1-877-260-6586,1,1,,,,,,,"Data and Analytics, Sales and Marketing, Software","Analytics, Brand Marketing, Enterprise Software, Marketing Automation, SaaS",1,0,Computing; Calculating,,,,,,,"San Mateo, California, United States",$100M to $500M,2006-02-10,day,"Lead Edge Capital, Storm Ventures, InterWest Partners, IVP, Battery Ventures",https://www.linkedin.com/company/marketo
Netcore Cloud,https://www.crunchbase.com/organization/netcore-solutions,501-1000,Active,https://netcorecloud.com,sales@netcore.co.in,+02266628100,3,4,3,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Sales and Marketing, Software","Cloud Infrastructure, Digital Marketing, Email Marketing, Marketing Automation, Mobile Advertising, Predictive Analytics, SaaS, Telecommunications",0,2,,Advertising; business,,,,,,"Mumbai, Maharashtra, India",$100M to $500M,1998-01-01,year,,https://www.linkedin.com/company/netcore-cloud/
Yodle,https://www.crunchbase.com/organization/yodle,1001-5000,Closed,http://www.yodle.com,info@yodle.com,(877) 276-5104,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Email Marketing, Marketing Automation, SEO, Social Media Marketing",0,3,,Advertising; business,16207174,USD,16207174,,,"New York, New York, United States",$100M to $500M,2005-03-15,day,"Employee Stock Option Fund, DFJ Growth, Icon Ventures, Bessemer Venture Partners, Stratim Capital",http://www.linkedin.com/company/yodle
Spectrio,https://www.crunchbase.com/organization/spectrio,251-500,Active,http://www.spectrio.com,info@spectrio.com,+1-800-584-4653,,,,,,,,,"Advertising, Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Sales and Marketing, Software","Digital Marketing, Digital Signage, Enterprise Software, Marketing, Marketing Automation, Messaging, Mobile Devices, Software, Video Advertising, Web Browsers",5,21,Computing; Calculating,Scientific and technological services,17863734,USD,17863734,,,"Tampa, Florida, United States",$100M to $500M,1986-01-01,year,"Allos Ventures, Bertram Capital Management",http://www.linkedin.com/company/spectrio
Team ITG,https://www.crunchbase.com/organization/inspired-thinking-group,1001-5000,Active,https://teamitg.com,hello@teamitg.com,+44 203 137 1026,,,,,,,,,"Administrative Services, Advertising, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Consulting, Content Creators, CRM, Digital Marketing, Marketing, Marketing Automation, Packaging Services",0,5,,Scientific and electric apparatus and instruments,8611760,USD,8611760,,,"Birmingham, Birmingham, United Kingdom",$100M to $500M,2009-01-01,year,Livingbridge,https://www.linkedin.com/company/inspired-thinking-group-itg-
DAS GROUP OF SOLUTIONS,https://www.crunchbase.com/organization/das-group-of-solutions,501-1000,Closed,http://www.dasgroupsollutions.com,,,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Advice, Marketing Automation",,,,,,,,,,"Mumbai, Maharashtra, India",$100M to $500M,2015-03-06,day,,
Online Shop,https://www.crunchbase.com/organization/online-shop,51-100,Active,https://www.onlineshop.com,,,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","E-Commerce, E-Commerce Platforms, Enterprise Software, Information Technology, Marketing Automation, Software",,,,,,,,,,"New York, New York, United States",$100M to $500M,2021-01-01,year,"Barclays Investment Bank, Justin Bieber, Dan Bilzerian, Ryan Thomas Gosling, Robin Vauvelle",https://www.linkedin.com/company/onlineshop
Wieden + Kennedy,https://www.crunchbase.com/organization/wieden-kennedy,1001-5000,Active,http://www.wk.com/,jobs@wk.com,9176615500,1,1,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Brand Marketing, Marketing Automation",0,1,,Advertising; business,31132601,USD,31132601,,,"Portland, Oregon, United States",$100M to $500M,1982-01-01,year,,http://www.linkedin.com/company/wieden---kennedy
TA Digital,https://www.crunchbase.com/organization/ta-digital,501-1000,Active,https://www.tadigital.com,info@tadigital.com,+1 510-962-3200,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, Digital Marketing, E-Commerce, Enterprise Resource Planning (ERP), Marketing, Marketing Automation, Web Design, Web Development",0,2,,Scientific and technological services,22301646,USD,22301646,,,"Newark, California, United States",$100M to $500M,2000-01-01,year,,https://www.linkedin.com/company/ta-digital-inc
Folio3,https://www.crunchbase.com/organization/folio3,501-1000,Active,https://www.folio3.com,contact@folio3.com,+1 408 365 4638,,,,,,,,,"Commerce and Shopping, Design, Hardware, Information Technology, Internet Services, Manufacturing, Sales and Marketing, Science and Engineering, Software","E-Commerce Platforms, Industrial Automation, Marketing Automation, Retail Technology, Sales Automation, Software, Web Design, Web Development, Web Hosting",,,,,13163912,USD,13163912,,,"San Mateo, California, United States",$100M to $500M,2005-01-01,year,,https://www.linkedin.com/company/folio3
Grazitti Interactive,https://www.crunchbase.com/organization/grazitti-interactive,1001-5000,Active,https://www.grazitti.com,info@grazitti.com,+1 650 585 6640,,,,,,,,,"Community and Lifestyle, Data and Analytics, Design, Sales and Marketing, Software","Analytics, Big Data, Business Intelligence, Communities, Content Marketing, Digital Marketing, Marketing Automation, Software, Web Design, Web Development",,,,,,,,,,"Mountain View, California, United States",$100M to $500M,2008-04-01,day,,http://www.linkedin.com/company/grazitti-interactive
Optimal Blue,https://www.crunchbase.com/organization/optimal-blue,251-500,Active,https://www2.optimalblue.com,support@optimalblue.com,(972)781-0200,,,,,,,,,"Consumer Electronics, Financial Services, Hardware, Sales and Marketing, Software","Computer, Enterprise Software, Financial Services, Marketing Automation, Software",0,14,,Scientific and technological services,11156645,USD,11156645,,,"Plano, Texas, United States",$100M to $500M,2002-01-01,year,Serent Capital,https://www.linkedin.com/company/84421/
Fathom,https://www.crunchbase.com/organization/fathom-seo-search-engine-optimization,101-250,Active,http://www.fathomdelivers.com,hello@fathomdelivers.com,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Digital Marketing, Email Marketing, Marketing, Marketing Automation, SEM, Social Media Advertising, Social Media Marketing",,,,,2295216,USD,2295216,,,"Cleveland, Ohio, United States",$100M to $500M,2000-01-01,year,,http://www.linkedin.com/company/fathomdelivers
CIGNEX,https://www.crunchbase.com/organization/cignex-technologies,501-1000,Active,http://www.cignex.com,marketingteam@cignex.com,(140) 865-6649,1,1,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software","Cloud Computing, Consulting, Content, Document Management, Enterprise Software, Information Technology, Marketing Automation, Open Source, Professional Services, Software",0,1,,Scientific and electric apparatus and instruments,1034858,USD,1034858,,,"Livonia, Michigan, United States",$100M to $500M,2000-01-01,year,Basil Partners,http://www.linkedin.com/company/298886
Naked Lime,https://www.crunchbase.com/organization/naked-lime,501-1000,Active,http://nakedlime.com/,info@nakedlime.com,+1 (855) 653-5469,,,,,,,,,"Advertising, Other, Professional Services, Sales and Marketing, Software","Advertising, Customer Service, Marketing, Marketing Automation",,,,,12042884,USD,12042884,,,"Ohio, Illinois, United States",$100M to $500M,2011-01-01,year,,http://www.linkedin.com/company/naked-lime
Exdion,https://www.crunchbase.com/organization/exdion,501-1000,Active,https://www.exdion.com,exdionservices@gmail.com,+1 469 277 8184,,,,,,,,,"Financial Services, Information Technology, Other, Professional Services, Sales and Marketing, Software","B2B, Information Services, InsurTech, Management Consulting, Marketing Automation",,,,,,,,,,"Plano, Texas, United States",$100M to $500M,2000-01-01,day,,https://www.linkedin.com/company/exdion/
Innocean Worldwide,https://www.crunchbase.com/organization/innocean-worldwide,501-1000,Active,http://www.innocean.com/,,822-2016-2300,2,2,1,,,,,,"Advertising, Information Technology, Other, Sales and Marketing, Software","Advertising, Information and Communications Technology (ICT), Marketing Automation, Professional Services",,,,,,,,,,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea",$100M to $500M,2005-05-17,day,Morgan Stanley Asia,https://www.linkedin.com/company/innocean-worldwide_3/
J Walter Thompson,https://www.crunchbase.com/organization/j-walter-thompson,10001+,Closed,https://www.jwt.com/,,4043657499,,,,,,,,,"Advertising, Data and Analytics, Design, Hardware, Media and Entertainment, Sales and Marketing, Software","Advertising, Communications Infrastructure, Digital Media, Enterprise Software, Market Research, Marketing, Marketing Automation",0,3,,Advertising; business,5879433,USD,5879433,,,"New York, New York, United States",$100M to $500M,1864-01-01,year,,https://www.linkedin.com/company/jwt
ETG Digital,https://www.crunchbase.com/organization/etg-global-services-pvt-ltd,101-250,Active,https://www.etg.digital,partha@etggs.com,678-846-9196,,,,,,,,,"Information Technology, Mobile, Professional Services, Sales and Marketing, Software","Consulting, Enterprise Resource Planning (ERP), Enterprise Software, Information Services, Information Technology, Marketing Automation, Mobile, Software",,,,,74612,USD,74612,,,"Plano, Texas, United States",$100M to $500M,2001-05-18,day,,http://www.linkedin.com/company/etisbew-technology-group-inc.
